School,Year,Source,Target
College of Arts and Sciences,Class of 2022,67,DUC
College of Arts and Sciences,Class of 2022,67,Law_School_Cafeteria
College of Arts and Sciences,Class of 2022,67,Village_Dining
College of Arts and Sciences,Class of 2022,AC_Frat_Row,67
College of Arts and Sciences,Class of 2022,67,DUC
College of Arts and Sciences,Class of 2022,67,Einsteins
College of Arts and Sciences,Class of 2022,67,Law_School_Cafeteria
College of Arts and Sciences,Class of 2022,67,Village_Dining
College of Arts and Sciences,Class of 2022,Bauer_Law_School,67
College of Arts and Sciences,Class of 2022,DUC_Area,67
College of Arts and Sciences,Class of 2022,Bio_Psych,67
College of Arts and Sciences,Class of 2022,Chemistry,67
College of Arts and Sciences,Class of 2022,Engineering_Quad,67
College of Arts and Sciences,Class of 2022,67,DUC
College of Arts and Sciences,Class of 2022,67,Law_School_Cafeteria
College of Arts and Sciences,Class of 2022,Brookings_Quad,67
College of Arts and Sciences,Class of 2022,67,DUC
College of Arts and Sciences,Class of 2022,67,Holmes
College of Arts and Sciences,Class of 2022,67,Law_School_Cafeteria
College of Arts and Sciences,Class of 2022,67,Whispers
College of Arts and Sciences,Class of 2022,Brown_School,67
College of Arts and Sciences,Class of 2022,67,Holmes
College of Arts and Sciences,Class of 2022,67,Law_School_Cafeteria
College of Arts and Sciences,Class of 2022,67,Whispers
College of Arts and Sciences,Class of 2022,Sam_Fox,67
College of Arts and Sciences,Class of 2022,Northest_Corner,67
College of Engineering and Applied Sciences,Class of 2022,South_40,68
College of Engineering and Applied Sciences,Class of 2022,68,DUC
College of Engineering and Applied Sciences,Class of 2022,Village,68
College of Engineering and Applied Sciences,Class of 2022,68,DUC
College of Engineering and Applied Sciences,Class of 2022,AC_Frat_Row,68
College of Engineering and Applied Sciences,Class of 2022,68,DUC
College of Engineering and Applied Sciences,Class of 2022,Bauer_Law_School,68
College of Engineering and Applied Sciences,Class of 2022,68,Law_School_Cafeteria
College of Engineering and Applied Sciences,Class of 2022,DUC_Area,68
College of Engineering and Applied Sciences,Class of 2022,68,DUC
College of Engineering and Applied Sciences,Class of 2022,Bio_Psych,68
College of Engineering and Applied Sciences,Class of 2022,68,Law_School_Cafeteria
College of Engineering and Applied Sciences,Class of 2022,Chemistry,68
College of Engineering and Applied Sciences,Class of 2022,68,Law_School_Cafeteria
College of Engineering and Applied Sciences,Class of 2022,Engineering_Quad,68
College of Engineering and Applied Sciences,Class of 2022,68,Holmes
College of Engineering and Applied Sciences,Class of 2022,Brookings_Quad,68
College of Engineering and Applied Sciences,Class of 2022,68,Law_School_Cafeteria
College of Engineering and Applied Sciences,Class of 2022,Brown_School,68
College of Engineering and Applied Sciences,Class of 2022,Sam_Fox,68
College of Engineering and Applied Sciences,Class of 2022,Northest_Corner,68
College of Engineering and Applied Sciences,Class of 2019,South_40,69
College of Engineering and Applied Sciences,Class of 2019,69,BD
College of Engineering and Applied Sciences,Class of 2019,Village,69
College of Engineering and Applied Sciences,Class of 2019,69,Village_Dining
College of Engineering and Applied Sciences,Class of 2019,AC_Frat_Row,69
College of Engineering and Applied Sciences,Class of 2019,69,BD
College of Engineering and Applied Sciences,Class of 2019,69,DUC
College of Engineering and Applied Sciences,Class of 2019,69,Holmes
College of Engineering and Applied Sciences,Class of 2019,69,Stanleys
College of Engineering and Applied Sciences,Class of 2019,69,Subway
College of Engineering and Applied Sciences,Class of 2019,69,Whispers
College of Engineering and Applied Sciences,Class of 2019,Bauer_Law_School,69
College of Engineering and Applied Sciences,Class of 2019,DUC_Area,69
College of Engineering and Applied Sciences,Class of 2019,Bio_Psych,69
College of Engineering and Applied Sciences,Class of 2019,Chemistry,69
College of Engineering and Applied Sciences,Class of 2019,69,DUC
College of Engineering and Applied Sciences,Class of 2019,69,Stanleys
College of Engineering and Applied Sciences,Class of 2019,69,Whispers
College of Engineering and Applied Sciences,Class of 2019,Engineering_Quad,69
College of Engineering and Applied Sciences,Class of 2019,69,DUC
College of Engineering and Applied Sciences,Class of 2019,69,Stanleys
College of Engineering and Applied Sciences,Class of 2019,Brookings_Quad,69
College of Engineering and Applied Sciences,Class of 2019,Brown_School,69
College of Engineering and Applied Sciences,Class of 2019,Sam_Fox,69
College of Engineering and Applied Sciences,Class of 2019,Northest_Corner,69
College of Engineering and Applied Sciences,Class of 2019,69,DUC
College of Engineering and Applied Sciences,Class of 2019,69,Stanleys
College of Engineering and Applied Sciences,Class of 2019,69,Subway
College of Engineering and Applied Sciences,Class of 2019,69,Whispers
College of Arts and Sciences,Class of 2020,South_40,70
College of Arts and Sciences,Class of 2020,70,BD
College of Arts and Sciences,Class of 2020,70,Loop_Dining
College of Arts and Sciences,Class of 2020,70,Village_Dining
College of Arts and Sciences,Class of 2020,Village,70
College of Arts and Sciences,Class of 2020,70,Loop_Dining
College of Arts and Sciences,Class of 2020,AC_Frat_Row,70
College of Arts and Sciences,Class of 2020,70,DUC
College of Arts and Sciences,Class of 2020,70,Loop_Dining
College of Arts and Sciences,Class of 2020,70,Village_Dining
College of Arts and Sciences,Class of 2020,Bauer_Law_School,70
College of Arts and Sciences,Class of 2020,DUC_Area,70
College of Arts and Sciences,Class of 2020,70,DUC
College of Arts and Sciences,Class of 2020,70,Loop_Dining
